case_id	category	scenario	fov_deg	n_pieces	native_efl_mm	native_fnum	direction	target_f_number	source_zmx	rationale	outcome	aut_converged	efl_target_deviation_pct	post_aut_fno	refl_count	miss_count	aperture_conflict_matched	error_kind	error_detail	preflight	duration_seconds	lis_path
US20210165194A1	wide	smartphone-ultrawide	95.000	5	2.4086	2.000	loosen	2.400	US20210165194A1.zmx	95° 超广角，5 片，native F/2.0 中庸参照。	ok	True	5.973805e-12	2.4	0	0	None				4.39	.planning\loop\p15-stageb-evidence\US20210165194A1\atelier_codev_target_probe_fno0240.lis
US20170003482A1	wide	smartphone-ultrawide	91.000	7	3.6213	2.320	tighten	1.800	US20170003482A1.zmx	opt3 全程最佳收敛控制种子（渐晕0即收敛），作为「好行为」对照。	TIR	True	0.000830255	1.8	1	6	None				3.39	.planning\loop\p15-stageb-evidence\US20170003482A1\atelier_codev_target_probe_fno0180.lis
US20170003482A1	wide	smartphone-ultrawide	91.000	7	3.6213	2.320	tighten	2.000	US20170003482A1.zmx	opt3 全程最佳收敛控制种子（渐晕0即收敛），作为「好行为」对照。	chief-ray-missing	True	9.9e-05	2.0	0	4	None				6.42	.planning\loop\p15-stageb-evidence\US20170003482A1\atelier_codev_target_probe_fno0200.lis
US20170003482A1	wide	smartphone-ultrawide	91.000	7	3.6213	2.320	loosen	2.400	US20170003482A1.zmx	opt3 全程最佳收敛控制种子（渐晕0即收敛），作为「好行为」对照。	ok	True	0.000732228	2.4	0	0	None				3.39	.planning\loop\p15-stageb-evidence\US20170003482A1\atelier_codev_target_probe_fno0240.lis
US8908290B1	wide	smartphone-ultrawide	91.200	6	3.9503	2.000	tighten	1.800	US8908290B1.zmx	91.2° 超广角，6 片，native F/2.0（与 US20210165194A1 同 F# 不同 FOV/片数对照）。	TIR	True	0.000433034	1.8	1	3	None				3.44	.planning\loop\p15-stageb-evidence\US8908290B1\atelier_codev_target_probe_fno0180.lis
US8908290B1	wide	smartphone-ultrawide	91.200	6	3.9503	2.000	loosen	2.400	US8908290B1.zmx	91.2° 超广角，6 片，native F/2.0（与 US20210165194A1 同 F# 不同 FOV/片数对照）。	ok	True	0.00435271	2.4	0	0	None				3.39	.planning\loop\p15-stageb-evidence\US8908290B1\atelier_codev_target_probe_fno0240.lis
US20140111876A1	wide	smartphone-wide	75.200	6	4.1851	2.070	tighten	1.600	US20140111876A1.zmx	75.2° 恰在 wide FOV 阈值边界，opt3 asphere/glass DOF 矩阵已用过。	TIR	True	0.00356433	1.6	26	1	None				2.41	.planning\loop\p15-stageb-evidence\US20140111876A1\atelier_codev_target_probe_fno0160.lis
US20140111876A1	wide	smartphone-wide	75.200	6	4.1851	2.070	tighten	1.800	US20140111876A1.zmx	75.2° 恰在 wide FOV 阈值边界，opt3 asphere/glass DOF 矩阵已用过。	TIR	True	0.0198425	1.8	17	3	None				2.39	.planning\loop\p15-stageb-evidence\US20140111876A1\atelier_codev_target_probe_fno0180.lis
US20140111876A1	wide	smartphone-wide	75.200	6	4.1851	2.070	tighten	2.000	US20140111876A1.zmx	75.2° 恰在 wide FOV 阈值边界，opt3 asphere/glass DOF 矩阵已用过。	TIR	True	0.188125	2.0	4	11	None				9.44	.planning\loop\p15-stageb-evidence\US20140111876A1\atelier_codev_target_probe_fno0200.lis
US20140111876A1	wide	smartphone-wide	75.200	6	4.1851	2.070	loosen	2.570	US20140111876A1.zmx	75.2° 恰在 wide FOV 阈值边界，opt3 asphere/glass DOF 矩阵已用过。	TIR	True	0.038694	2.57	1	0	None				5.34	.planning\loop\p15-stageb-evidence\US20140111876A1\atelier_codev_target_probe_fno0257.lis
US20140111876A1	wide	smartphone-wide	75.200	6	4.1851	2.070	loosen	3.000	US20140111876A1.zmx	75.2° 恰在 wide FOV 阈值边界，opt3 asphere/glass DOF 矩阵已用过。	TIR	True	0.0853326	3.0	1	0	None				4.69	.planning\loop\p15-stageb-evidence\US20140111876A1\atelier_codev_target_probe_fno0300.lis
US10310222B2	wide	smartphone-wide	76.200	6	4.6091	1.800	tighten	1.600	US10310222B2.zmx	76.2° + native F/1.8（wide 组第二快 F#），覆盖快光圈宽视场组合。	TIR	True	0.0395946	1.6	20	0	None				3.56	.planning\loop\p15-stageb-evidence\US10310222B2\atelier_codev_target_probe_fno0160.lis
US10310222B2	wide	smartphone-wide	76.200	6	4.6091	1.800	loosen	2.300	US10310222B2.zmx	76.2° + native F/1.8（wide 组第二快 F#），覆盖快光圈宽视场组合。	TIR	True	0.0289781	2.3	7	2	None				5.97	.planning\loop\p15-stageb-evidence\US10310222B2\atelier_codev_target_probe_fno0230.lis
US10310222B2	wide	smartphone-wide	76.200	6	4.6091	1.800	loosen	2.800	US10310222B2.zmx	76.2° + native F/1.8（wide 组第二快 F#），覆盖快光圈宽视场组合。	TIR	True	0.0536763	2.8	5	0	None				4.47	.planning\loop\p15-stageb-evidence\US10310222B2\atelier_codev_target_probe_fno0280.lis
US10310222B2	wide	smartphone-wide	76.200	6	4.6091	1.800	loosen	3.000	US10310222B2.zmx	76.2° + native F/1.8（wide 组第二快 F#），覆盖快光圈宽视场组合。	TIR	True	0.0801026	3.0	16	0	None				4.41	.planning\loop\p15-stageb-evidence\US10310222B2\atelier_codev_target_probe_fno0300.lis
US-12443014-B2-e1	tele	smartphone-telephoto	15.800	5	17.3271	2.800	tighten	1.800	US-12443014-B2-e1.zmx	15.8° 窄视场长焦（EFL~17.3mm），native F/2.8 中庸，低 TIR 风险方向对照。	TIR	True	0.0606974	1.8	22	5	None				2.55	.planning\loop\p15-stageb-evidence\US-12443014-B2-e1\atelier_codev_target_probe_fno0180.lis
US-12443014-B2-e1	tele	smartphone-telephoto	15.800	5	17.3271	2.800	tighten	2.000	US-12443014-B2-e1.zmx	15.8° 窄视场长焦（EFL~17.3mm），native F/2.8 中庸，低 TIR 风险方向对照。	TIR	True	0.0370144	2.0	56	19	None				2.47	.planning\loop\p15-stageb-evidence\US-12443014-B2-e1\atelier_codev_target_probe_fno0200.lis
US-12443014-B2-e1	tele	smartphone-telephoto	15.800	5	17.3271	2.800	loosen	3.300	US-12443014-B2-e1.zmx	15.8° 窄视场长焦（EFL~17.3mm），native F/2.8 中庸，低 TIR 风险方向对照。	TIR	True	0.151417	3.3	18	4	None				2.41	.planning\loop\p15-stageb-evidence\US-12443014-B2-e1\atelier_codev_target_probe_fno0330.lis
US-12443014-B2-e1	tele	smartphone-telephoto	15.800	5	17.3271	2.800	loosen	3.800	US-12443014-B2-e1.zmx	15.8° 窄视场长焦（EFL~17.3mm），native F/2.8 中庸，低 TIR 风险方向对照。	TIR	False	2.47746	3.8	11	0	None				2.39	.planning\loop\p15-stageb-evidence\US-12443014-B2-e1\atelier_codev_target_probe_fno0380.lis
US-12443014-B2-e1	tele	smartphone-telephoto	15.800	5	17.3271	2.800	loosen	4.000	US-12443014-B2-e1.zmx	15.8° 窄视场长焦（EFL~17.3mm），native F/2.8 中庸，低 TIR 风险方向对照。	TIR	True	0.168684	4.0	2	0	None				3.41	.planning\loop\p15-stageb-evidence\US-12443014-B2-e1\atelier_codev_target_probe_fno0400.lis
US-12372756-B2-e8	tele	smartphone-telephoto	15.900	5	9.9705	2.450	tighten	1.800	US-12372756-B2-e8.zmx	15.9° 窄视场，native F/2.45，5 片。	TIR	True	0.0402268	1.8	64	5	None				2.39	.planning\loop\p15-stageb-evidence\US-12372756-B2-e8\atelier_codev_target_probe_fno0180.lis
US-12372756-B2-e8	tele	smartphone-telephoto	15.900	5	9.9705	2.450	tighten	2.000	US-12372756-B2-e8.zmx	15.9° 窄视场，native F/2.45，5 片。	TIR	True	0.0402268	2.0	60	5	None				2.36	.planning\loop\p15-stageb-evidence\US-12372756-B2-e8\atelier_codev_target_probe_fno0200.lis
US-12372756-B2-e8	tele	smartphone-telephoto	15.900	5	9.9705	2.450	loosen	2.950	US-12372756-B2-e8.zmx	15.9° 窄视场，native F/2.45，5 片。	TIR	True	0.0402268	2.95	36	5	None				2.36	.planning\loop\p15-stageb-evidence\US-12372756-B2-e8\atelier_codev_target_probe_fno0295.lis
US-12372756-B2-e8	tele	smartphone-telephoto	15.900	5	9.9705	2.450	loosen	3.450	US-12372756-B2-e8.zmx	15.9° 窄视场，native F/2.45，5 片。	TIR	True	0.0402268	3.45	28	5	None				2.53	.planning\loop\p15-stageb-evidence\US-12372756-B2-e8\atelier_codev_target_probe_fno0345.lis
US-12372756-B2-e8	tele	smartphone-telephoto	15.900	5	9.9705	2.450	loosen	4.000	US-12372756-B2-e8.zmx	15.9° 窄视场，native F/2.45，5 片。	TIR	True	0.0402268	4.0	20	5	None				2.42	.planning\loop\p15-stageb-evidence\US-12372756-B2-e8\atelier_codev_target_probe_fno0400.lis
US-20260160979-A1-e3	tele	smartphone-telephoto	19.000	8	13.4203	1.680	loosen	2.180	US-20260160979-A1-e3.zmx	19.0° 窄视场但 native F/1.68 极快（8 片）——罕见「窄视场+快光圈」组合，且 native F# 低于其 telephoto scenario 的 f_number_min(1.8)，收紧方向 band 内无候选（如实记录为空集，非 bug）。	ok	True	2.1e-05	2.18	0	0	None				2.41	.planning\loop\p15-stageb-evidence\US-20260160979-A1-e3\atelier_codev_target_probe_fno0218.lis
US-20260160979-A1-e3	tele	smartphone-telephoto	19.000	8	13.4203	1.680	loosen	2.680	US-20260160979-A1-e3.zmx	19.0° 窄视场但 native F/1.68 极快（8 片）——罕见「窄视场+快光圈」组合，且 native F# 低于其 telephoto scenario 的 f_number_min(1.8)，收紧方向 band 内无候选（如实记录为空集，非 bug）。	ok	True	0.000890228	2.68	0	0	None				2.41	.planning\loop\p15-stageb-evidence\US-20260160979-A1-e3\atelier_codev_target_probe_fno0268.lis
US-20260160979-A1-e3	tele	smartphone-telephoto	19.000	8	13.4203	1.680	loosen	4.000	US-20260160979-A1-e3.zmx	19.0° 窄视场但 native F/1.68 极快（8 片）——罕见「窄视场+快光圈」组合，且 native F# 低于其 telephoto scenario 的 f_number_min(1.8)，收紧方向 band 内无候选（如实记录为空集，非 bug）。	ok	True	0.000541025	4.0	0	0	None				2.39	.planning\loop\p15-stageb-evidence\US-20260160979-A1-e3\atelier_codev_target_probe_fno0400.lis
US-11940597-B2-e6	tele	smartphone-telephoto	18.800	4	19.6731	3.570	tighten	1.800	US-11940597-B2-e6.zmx	18.8° 窄视场，native F/3.57（本矩阵最慢 F#），4 片最简单结构对照。	TIR	True	0.336609	1.8	45	6	None				2.38	.planning\loop\p15-stageb-evidence\US-11940597-B2-e6\atelier_codev_target_probe_fno0180.lis
US-11940597-B2-e6	tele	smartphone-telephoto	18.800	4	19.6731	3.570	tighten	2.000	US-11940597-B2-e6.zmx	18.8° 窄视场，native F/3.57（本矩阵最慢 F#），4 片最简单结构对照。	TIR	True	0.0133488	2.0	33	6	None				2.41	.planning\loop\p15-stageb-evidence\US-11940597-B2-e6\atelier_codev_target_probe_fno0200.lis
US-11940597-B2-e6	tele	smartphone-telephoto	18.800	4	19.6731	3.570	loosen	4.000	US-11940597-B2-e6.zmx	18.8° 窄视场，native F/3.57（本矩阵最慢 F#），4 片最简单结构对照。	ok	True	0.108423	4.0	0	0	None				2.39	.planning\loop\p15-stageb-evidence\US-11940597-B2-e6\atelier_codev_target_probe_fno0400.lis
